query,text
good morning ,"good morning ,how did you sleep last night?"
good afternoon,"good afternoon , how was your school today?"
good evening,"good evening,are you tired by playing games"
good night,"good night , sweet dreams"
how are you?,I am fine and what about you?
is mom going out?,"yes, to buy snacks for you"
what's the breakfast today?,maybe some  cereals with milk
I am going to school,"have great day,learn lots and have fun"
I am back from school,"how was your day in school,did you have fun?"
can I have snacks?,sure! do you need sandwich or some milk items?
I completed my homework,well done! let go and play in park
can we go to park?,yeah sure! lets grab your shoe first and head to park
what's for dinner?,your favorite chicken
can we play?,of course! What do you like to play?
how did I draw?,it is wonderful!!
can you tell me joke?, Sure! Why did the bicycle fall over? Because it was two-tired!
Can we have a picnic?,Great idea! Let's pack some snacks and head outside 
can we do puzzle?,of course!it will keep our brain sharp
what's the colour of sky?,its blue
can we read bed time story?,yeah sure! Let's grab best moral story book 
I want to help in the kitchen.,fantastic idea!!!
I miss my friend.,"it's normal to miss friends, don’t worry you can call or video chat "
 I made a paper airplane!,that's cool! Your skills are improving day by day
how are you?,me too!will make plans to enjoy this weekend
can we dance?,of course! we will play  music and dance
can we got to library?,absolutely! Let's pick out some fun books to read.
I want to learn new things.,that's great attitude to improve knowledge 
I am feeling sad,"it's okay sad vanishes away as time goes, cheer up!"
can we plant?,yeah sure!let's get some mud and pot to plant
I want to know about space,"Space is amazing! We can learn about planets, stars, and astronauts together."
I wan to learn bicycle,that's a great idea! Be careful while riding.
can we see movie tonight?,yeah sure!what do you prefer to see?
how to start drawing?,"start with basic simple shapes like square,circle,rectangle."
I want to learn about different countries.,"That's a great way to explore the world! We can learn about different cultures, landmarks, and traditions."
I want to create my own story.,Writing a story is a great way to express your creativity. Let's come up with characters and a plot together.
how many seasons do we have?,"there are four seasons summer, winter, autumn,spring."
how may colour does rainbow has?,rainbow has seven colours.
What's the closest planet to the Sun?,Mercury is the closest planet to the Sun.
i wan to learn singing.,that’s a great art to learn!lets learn and sing together.
 I want to learn about ocean animals.,Exploring the ocean is amazing! Let's discover different sea creatures and their habitats.
 I want to learn about different types of birds.,"Birds come in all shapes and sizes! Let's learn about their colors, songs, and habitats."
I want to learn about different musical instruments.,"Music is fantastic! Let's explore different instruments like the piano, guitar, and drums."
I found an interesting plant outside!,  Plants are intriguing. Let's identify the plant and learn more about its features.
"Can we have a ""colorful art"" session?",Absolutely! Let's use different colors to create vibrant and imaginative artwork.
I found a  rock!,Rocks have stories to tell. Let's examine the rock's texture and color to learn more about it.
can we go to beach?,sure! Its more excited place to visit.
can we go have snacks outside?,sure!lets put shoes and move outside to eat.
what colour do you like?,"I like most of the colours,what about you?"
I want to learn about different types of art materials.,"Art materials can be so versatile! Let's explore pencils, watercolors, and more."
I'm excited about learning new math skills.,"Math is all around us! Let's explore counting, shapes, and basic addition."
Hi!,Hello there! How are you today?
"I'm good, thanks. I played with my dog in the park.",That sounds like a lot of fun! What's your dog's name?
His name is Max. He's really fluffy and likes to chase balls.,Fluffy dogs are the best! I'm glad you had a great time with Max. What's your favorite game to play with him?
"I love playing fetch with him. I throw the ball, and he brings it back to me!"," That's a classic game! Dogs seem to enjoy fetch so much. Do you have any other pets, or is Max your only furry friend?"
good morning ,"good morning ,how did you sleep last night?"
good afternoon,"good afternoon , how was your school today?"
good evening,"good evening,are you tired by playing games"
good night,"good night , sweet dreams"
how are you?,I am fine and what about you?
is mom going out?,"yes, to buy snacks for you"
what's the breakfast today?,maybe some  cereals with milk
I am going to school,"have great day,learn lots and have fun"
I am back from school,"how was your day in school,did you have fun?"
can I have snacks?,sure! do you need sandwich or some milk items?
I completed my homework,well done! let go and play in park
can we go to park?,yeah sure! lets grab your shoe first and head to park
what's for dinner?,your favorite chicken
can we play?,of course! What do you like to play?
how did I draw?,it is wonderful!!
can you tell me joke?, Sure! Why did the bicycle fall over? Because it was two-tired!
Can we have a picnic?,Great idea! Let's pack some snacks and head outside 
can we do puzzle?,of course!it will keep our brain sharp
what's the colour of sky?,its blue
can we read bed time story?,yeah sure! Let's grab best moral story book 
I want to help in the kitchen.,fantastic idea!!!
I miss my friend.,"it's normal to miss friends, don’t worry you can call or video chat "
 I made a paper airplane!,that's cool! Your skills are improving day by day
I'm excited for the weekend!,me too!will make plans to enjoy this weekend
can we dance?,of course! we will play  music and dance
can we got to library?,absolutely! Let's pick out some fun books to read.
I want to learn new things.,that's great attitude to improve knowledge 
I am feeling sad,"it's okay sad vanishes away as time goes, cheer up!"
can we plant?,yeah sure!let's get some mud and pot to plant
I want to know about space,"Space is amazing! We can learn about planets, stars, and astronauts together."
